
s,id,label,nomen,cognomen,from,to,office
http://romanrepublic.ac.uk/rdf/entity/Person/1,IUNI0001,"IUNI0001 L. Iunius (46a, Supb. 5.356ff.) M. f. Brutus",Iunius,Brutus,-540,-509,cos. 509
http://romanrepublic.ac.uk/rdf/entity/Person/1131,IUNI1131,IUNI1131 M. Iunius (48) M. f. L. n. Brutus,Iunius,Brutus,-221,-100,cos. 178
http://romanrepublic.ac.uk/rdf/entity/Person/1132,IUNI1132,IUNI1132 P. Iunius (54) Brutus,Iunius,Brutus,-220,-125,pr. 190
http://romanrepublic.ac.uk/rdf/entity/Person/1149,IUNI1149,IUNI1149 D. Iunius (45) Brutus,Iunius,Brutus,-225,-125,III vir col. deduc. 194
http://romanrepublic.ac.uk/rdf/entity/Person/1533,IUNI1533,IUNI1533 M. Iunius (49) M. f. M. n. Brutus,Iunius,Brutus,-179,-125,pr. before 139
http://romanrepublic.ac.uk/rdf/entity/Person/1565,IUNI1565,IUNI1565 D. Iunius (57) M. f. M. n. Brutus Callaicus,Iunius,Brutus,-181,-75,cos. 138
http://romanrepublic.ac.uk/rdf/entity/Person/1929,IUNI1929,IUNI1929 M. Iunius (51) Brutus,Iunius,Brutus,-125,-82,pr. 88
http://romanrepublic.ac.uk/rdf/entity/Person/1973,IUNI1973,IUNI1973 M. Iunius (52) Brutus,Iunius,Brutus,-117,-77,tr. pl. 83
http://romanrepublic.ac.uk/rdf/entity/Person/1980,IUNI1980,IUNI1980 L. Iunius (58) L. f. Gal. Brutus Damasippus,Iunius,Brutus,-125,-80,pr. 82
http://romanrepublic.ac.uk/rdf/entity/Person/2023,IUNI2023,IUNI2023 D. Iunius (46) D. f. M. n. Brutus,Iunius,Brutus,-120,-25,cos. 77
http://romanrepublic.ac.uk/rdf/entity/Person/2459,IUNI2459,IUNI2459 M. Iunius (53) M. f. Brutus = Q. Servilius Caepio Brutus,Iunius,Brutus,-85,-42,pr. 44
http://romanrepublic.ac.uk/rdf/entity/Person/2489,IUNI2489,"IUNI2489 D. Iunius (55a, Supb. 5.369) D. f. D. n. Brutus Albinus",Iunius,Brutus,-100,-43,cos. desig. 43
