Object ID,Name,Entity type,Name,Minimal Disambiguation,Information,Name (transliteration),Name (Greek font),Name (Latinized),Name in Latin texts,Alternative names,Alternative name for,Alternative name for - Object ID,Possibly the same as,Possibly the same as - Object ID,Possibly same as,Possibly same as - Object ID,Rationalized form of,Rationalized form of - Object ID,Rationalized form,Rationalized form - Object ID,Personification of,Personification of - Object ID,Identified with the author,Identified with the author - Object ID,Wikidata,PALP,Trismegistos,LIMC headword,Digital LIMC,Gender,Part of,Part of - Object ID
8190162,👤 Tyndareos,Agent,Tyndareos,,king of Sparta,,,Tyndareus,,,,,,,,,,,,,,,,,Q192946,,https://www.trismegistos.org/name/46300,,0ZywNB5xQ0yHrGPju6t4lwq,Male,,
8188419,👤 Zeus (Olympian),Agent,Zeus,(Olympian),Olympian god,,Ζεύς,,Jupiter,,,,,10152706,👤 Laphystios,10152706,,,,,,,,,Q34201,zeus,https://www.trismegistos.org/name/9403,Zeus,7xbHQl8BQ8OE5ZUC7v4puw4,Male,,
8187814,👤 Argos (s. of Phrixos),Agent,Argos,(s. of Phrixos),"sometime Argonaut, builder of Argo",,,,,Argus,,,,,,,,,,,,,,,Q16169688,,https://www.trismegistos.org/name/48723,Argos III,OWHbmpKdT56rdcbSFutH6AQ,Male,,
11326077,👤 Semiramis,Agent,Semiramis,,"Eastern goddess, daughter of Derceto",,,,,,,,,,,,,,,,,,,,Q103960,,,,wrx_Jk4lRR=MBTZnw9B7lgv.20241009T19060418568072Z,Female,,
8190016,👤 Proteus (Egyptian),Agent,Proteus,(Egyptian),"king of Egypt, son of Poseidon",,,,,,,,,,,,,,,,,,,,Q191481,,https://www.trismegistos.org/name/18666,,iVbTdE0TSPy9=WOvr1MuyQH,Male,,
8187819,👤 Aristaios,Agent,Aristaios,,"semi-divine figure, father of Actaion",,,,,"Nomios, Agreos",,,,,,,,,,,,,,,Q392435,,https://www.trismegistos.org/name/2252,,FYH7Ojk8T2OB6tsY8_Hp7wV,Male,,
8188175,👤 Dionysos (Olympian),Agent,Dionysos,(Olympian),Olympian god,,,,Liber,Lyaios,,,,10152706,👤 Laphystios,10152706,,,,,,,,,Q41680,dionysius,https://www.trismegistos.org/name/2827,,ugz5XOC=Qq=3u4gIdwdD1QB,Male,,
8188175,👤 Dionysos (Olympian),Agent,Dionysos,(Olympian),Olympian god,,,,Liber,Lyaios,,,,10152706,👤 Laphystios,10152706,,,,,,,,,Q41680,dionysius,https://www.trismegistos.org/name/2827,,2SbNV7bmQcGJiD0RyDxuWg=,Male,,
8188175,👤 Dionysos (Olympian),Agent,Dionysos,(Olympian),Olympian god,,,,Liber,Lyaios,,,,10152706,👤 Laphystios,10152706,,,,,,,,,Q41680,dionysius,https://www.trismegistos.org/name/2827,,XixZ4oCLQr6ZLIhhwIaHEg0,Male,,
8188175,👤 Dionysos (Olympian),Agent,Dionysos,(Olympian),Olympian god,,,,Liber,Bromios,,,,10152706,👤 Laphystios,10152706,,,,,,,,,Q41680,dionysius,https://www.trismegistos.org/name/2827,,ugz5XOC=Qq=3u4gIdwdD1QB,Male,,
8188175,👤 Dionysos (Olympian),Agent,Dionysos,(Olympian),Olympian god,,,,Liber,Bromios,,,,10152706,👤 Laphystios,10152706,,,,,,,,,Q41680,dionysius,https://www.trismegistos.org/name/2827,,2SbNV7bmQcGJiD0RyDxuWg=,Male,,
8188175,👤 Dionysos (Olympian),Agent,Dionysos,(Olympian),Olympian god,,,,Liber,Bromios,,,,10152706,👤 Laphystios,10152706,,,,,,,,,Q41680,dionysius,https://www.trismegistos.org/name/2827,,XixZ4oCLQr6ZLIhhwIaHEg0,Male,,
8188175,👤 Dionysos (Olympian),Agent,Dionysos,(Olympian),Olympian god,,,,Liber,Bacchos,,,,10152706,👤 Laphystios,10152706,,,,,,,,,Q41680,dionysius,https://www.trismegistos.org/name/2827,,ugz5XOC=Qq=3u4gIdwdD1QB,Male,,
8188175,👤 Dionysos (Olympian),Agent,Dionysos,(Olympian),Olympian god,,,,Liber,Bacchos,,,,10152706,👤 Laphystios,10152706,,,,,,,,,Q41680,dionysius,https://www.trismegistos.org/name/2827,,2SbNV7bmQcGJiD0RyDxuWg=,Male,,
8188175,👤 Dionysos (Olympian),Agent,Dionysos,(Olympian),Olympian god,,,,Liber,Bacchos,,,,10152706,👤 Laphystios,10152706,,,,,,,,,Q41680,dionysius,https://www.trismegistos.org/name/2827,,XixZ4oCLQr6ZLIhhwIaHEg0,Male,,
8188388,👤 Ge,Agent,Ge,,personification of Earth,,,,Terra,Gaia,,,,,,,,,,,,,,,Q93172,,,Ge,QWL=ItlpQ=2I=igPK9t7Jwi,Female,,
8188388,👤 Ge,Agent,Ge,,personification of Earth,,,,Terra,Gaia,,,,,,,,,,,,,,,Q93172,,,Ge,hJUTsHbLSIyj9tixrh1v8wT,Female,,
8182069,👤 Aietes,Agent,Aietes,,king of Colchis,,,,,Aeetes,,,,,,,,,,,,,,,Q241971,,https://www.trismegistos.org/name/46338,,4bDpxsmlSMGSND0FF0TkZgI,Male,,
8182234,👤 Apsyrtos,Agent,Apsyrtos,,son of Aietes,,,,Absyrtus,Phaethon,,,,,,,,,,,,,,,Q333658,,https://www.trismegistos.org/name/45207,,ehKnlWnzTC2WIgzhZptIIQA,Male,,
8182234,👤 Apsyrtos,Agent,Apsyrtos,,son of Aietes,,,,Absyrtus,Aigialeos,,,,,,,,,,,,,,,Q333658,,https://www.trismegistos.org/name/45207,,ehKnlWnzTC2WIgzhZptIIQA,Male,,
11299280,👤 Helicon,Agent,Helicon,,personification of the mountain,,,,,,,,,,,,,,,,🌍 Mount Helicon (Boiotia),9878166,,,Q5893774,,https://www.trismegistos.org/name/21650,,ZPvD76szR42lp0tPKdsx3g1,Male,,
11311905,👤 Ninos (Babylonian),Agent,Ninos,(Babylonian),mythical king of Babylon,,,,Ninus,,,,,,,,,,,,,,,,Q1152356,,,Ninos,G3l9klhGQA6u9Ty7WsSoJwA,Male,,
9878181,👤 Eros,Agent,Eros,,personification of love,,ἔρως,,,,,,,,,,,,,,,,,,Q121973,eros,https://www.trismegistos.org/name/3009,,N733vVkkTjisjpe3Zo0IFgV,Male,,
9878181,👤 Eros,Agent,Eros,,personification of love,,ἔρως,,,,,,,,,,,,,,,,,,Q121973,eros,https://www.trismegistos.org/name/3009,,Au7gCJ0FToutVwMWmvwPrQW,Male,,
8189178,👤 Perdix (m. of Talos),Agent,Perdix,(m. of Talos),sister of Daidalos,,,,,,,,,,,,,,,,,,,,Q33192667,,https://www.trismegistos.org/name/43038,,tHxO8ZetR3qkSY5fHi3eZQF,Female,,
8190054,👤 Talos (Athenian),Agent,Talos,(Athenian),"nephew of Daidalos, called Perdix in Ovid",,,,,Perdix,,,,,,,,,,,,,,,Q2365581,,,,fSk0MEdQQFeB5BnhW14mQAq,Male,,
8190054,👤 Talos (Athenian),Agent,Talos,(Athenian),"nephew of Daidalos, called Perdix in Ovid",,,,,Calos,,,,,,,,,,,,,,,Q2365581,,,,fSk0MEdQQFeB5BnhW14mQAq,Male,,
8189246,👤 Phocos (Aiginetan & Phocian),Agent,Phocos,(Aiginetan & Phocian),son of Aiacos,,,,,,,,,,,,,,,,,,,,Q836311,,https://www.trismegistos.org/name/48133,,ZK0DUzlJRIuLpnh9lS9xzQO,Male,,
8189246,👤 Phocos (Aiginetan & Phocian),Agent,Phocos,(Aiginetan & Phocian),son of Aiacos,,,,,,,,,,,,,,,,,,,,Q836311,,https://www.trismegistos.org/name/48133,,arcNTPnkR66mRoZ9CcbFeg2,Male,,
10084571,👤 Castalia (d. of Acheloos),Agent,Castalia,(d. of Acheloos),"eponym of Castalia, daughter of Acheloos",,,,,,,,,,,,,,,,,,,,Q170053,,https://www.trismegistos.org/name/48349,,x4_Gh_OmT=GKamFq4ZEjbgK,Female,,
8188002,👤 Cheiron (centaur),Agent,Cheiron,(centaur),centaur,,,,Chiron,,,,,,,,,,,,,,,,Q183417,cheiron,https://www.trismegistos.org/name/48858,Cheiron,M41MSML9RwSFYHgIw4dwMwy,Male,,
10108111,👤 Maira (Argive I),Agent,Maira,(Argive I),daughter of Proitos,,,,,,,,,,,,,,,,,,,,Q2002158,,,,K2cWuKNMQRyFFnj5OIiqFQA,Female,,
8189827,👤 Metion (s. of Erechtheus),Agent,Metion,(s. of Erechtheus),son of Erechtheus,,,,,,,,,,,,,,,,,,,,Q591842,,,,im0Zs9wFRKW3UYfYLEfrugS,Male,,
8187869,👤 Athamas (Orchomenian),Agent,Athamas,(Orchomenian),"son of Aiolos, sometimes Theban",,,,,,,,,,,,,,,,,,,,Q143880,,https://www.trismegistos.org/name/2160,,UBN2kmMPTqyryKSV0wglGQE,Male,,
8187917,👤 Boutes (Athenian I),Agent,Boutes,(Athenian I),son of Pandion,,,,Butes,,,,,,,,,,,,,,,,Q13156677,,https://www.trismegistos.org/name/45917,,rzBKGyL_Q3Otyt9S6EZdNw8,Male,,
8188542,👤 Hyacinthos (Spartan),Agent,Hyacinthos,(Spartan),"loved by Apollo, associated with the flower",,,,,,,,,,,,,,,,,,,,Q207273,,https://www.trismegistos.org/name/12688,,Apa0IqHCQcKdeNkSFBCbcQc,Male,,
